glotto	tones	vowels	consonants	citation	quote
vunj1238	8	5	35	McHugh, Brian David. 1999. Cyclicity in the phrasal phonology of KiVunjo Chaga. (Studies in African linguistics, 3.) München: Lincom Europa.	"From underlying H and L tones the tonology of Kivunjo derives a surface inventory of three level and five countour tones"
saka1287	4	13	21	Tylleskär, T. (1987). Phonologie de la langue Sakata (BC 34). Langue bantoue du Zaïre Parler de Lemvien Nord (Master's thesis, Université de la Sorbonne nouvelle). p. 104	"Avec deux niveaux pertinents, la langue distingue quatre tonèmes : deux tonèmes ponctuels, haut et bas , deux tonèmes mélodiques montant et descendant ainsi notés ... Dans ce cas nous arriuerions à un système de 21 phonèmes consonantiques."
sang1333	2			Idiata [Mayombo], Daniel Franck. 1993. Éléments de phonologie diachronique du isangu (B.42). Pholia 8. 67-108.
wand1266	2	5	15	M. Mouele, Étude synchronique et diachronique des parlers dúmá (groupe bantu B.50), Lyon, Université Lumière Lyon 2, 1997 — Thèse de doctorat
nyok1243	5	7	22	Nga, Elaine. 2000. Esquisse phonologique du ninyo'o. (MA thesis, Université de Yaoundé I). p. 9	"Ciniq tons ont été attestés dans le corpus. Il s'agit du ton haut, du ton bas, du ton haut-bas, du ton bas-haut, du ton moyen."
kwak1266	3	7	31	Hare, S. A. (2018). Tone in Kwakum (A91) with an Application to Orthography (Doctoral dissertation, Graduate Institute of Applied Linguistics,[Dallas International University]).	"Kwakum has three contrastive tones, L, M and H. ... Kwakum has seven underlying vowel phonemes plus contrastive length. ... Kwakum is analyzed in this thesis as having thirty-one consonant phonemes:"
mbos1242	2	7	18	Georges Martial Embanga Aborobongui. 2013. Processus segmentaux et tonals en Mbondzi- (variété. (Doctoral dissertation, Université de la Sorbonne Nouvelle (Paris 3); 221pp.)	"Obenga  (1976),  Ndinga-Oba  (2004)  et  bien  d’autres  études  avant  nous  sont unanimes sur le nombre (deux) de tons en Mbondzi. ... nous avons identifié les dix huit phonèmes suivants comme ceux du mbondzi. ... Toutes les études antérieures : Obenga (1976), Robins (1987), Fontaney (1988), Bedrosian  (1998),  Ndinga-Oba  (2003),  Boyi  (2007),  Kouarata  (2006)  sont unanimes sur le nombre des voyelles du mbondzi : sept (7) voyelles  (i, e, ɛ, a, ɔ, o, u) "
ikom1245	2	7	18	Higgins, H. A. (2011). Ikoma vowel harmony: Phonetics and phonology. Langley, BC: MA thesis, Trinity Western University. p.63	"Ikoma has two level tones on the surface: High (H) and Low (L)"
vili1238			10	Ndinga-Koumba-Binza, Steve. 2007. Phonetic and phonological aspects of the Civili vowel duration: an experimental approach.
poko1261	0	5	32	Ipu, Hyslop P. 1982. A phonological description of the sounds of Lower Kipfokomo. (MA thesis, University of Nairobi; 123pp.) p.20	"Zipfohono is not a tone langauge"
haaa1252	2	5	23	Harjula, L. (2004). Handling tone in two-level morphology: the case of ha. Nordic Journal of African Studies, 13(1), 95-102.
bubi1250		7	20	https://en.wikipedia.org/wiki/Bube_language#Phonology
lugu1238	0			Petzell, M., & Kühl, K. (2017). The Influence of Non-linguistic Factors on the Usage of the Pre-prefix in Luguru. Linguistic Discovery, 15(1), 35-50.	"Note that tones are not distinctive in meaning in Luguru; consequently, we do not mark tones in the examples in this paper. "
mpie1238	2	7	20	Festen, B. D. (2008). Verbal Tone in Mpyemo (Doctoral dissertation, University of North Dakota).	"There are three phonetic pitch levels in Mpyemo, but I will argue for only two underlying tone heights: high and low."
ngon1269	2			Mtenje, A., & Soko, B. (1998). Oral traditions among the northern Malawi Ngoni. Journal of Humanities, 12(1), 1-18.
saga1256	0	5	24	Bollaert, F. (2017). The synchronic phonology and nominal morphology of Sagala (Bantu G39, Tanzania): A preliminary study (Doctoral dissertation, Ghent University).	"It is important to note in advance that I have not recognised Sagala as a tone language"
zigu1242	2	5	22	Macsaveny, E. (2009) Verbal Tone in Chizigula. 2009. Occasional Papers in Applied Linguistics.  No. 5.
tumb1250	0	5	21	Kishindo, P. J. (1998). On the standardization of Citumbuka and Ciyao orthographies: Some observations. South African Journal of African Languages, 18(4), 85-91.	"Ciyao, unlike Citumbuka but like Chichewa, makes use of tone differences to distinguish words."
safw1238	1			Voorhoeve, J. (1973). Safwa as a restricted tone system. Studies in African Linguistics, 4(1), 1.	"The present paper shows that in Safwa the prominence patterns can be related to a tonal or prosodic distinction in one vowel of each word"
kand1300	2	7	14	Baloka Nghoubou, S., 2004, "Esquisse phonologique du kandè, langue bantu du Gabon (B.32)", mémoire de maîtrise, mémoire de maîtrise, Département des Sciences du Langage, Université Omar Bongo, Libreville, 83 p.	"Le kandè compte deux tonèmes: hauts et bas"
nyan1304	4	7	16	Kadima, M. (1965). Esquisse phonologique et morphologique de la langue nyanga. Africana Linguistica, 2(1), 55-111.	"En nyanga il existe quatre tonèmes"
