"","X","OID_","iso","Language","Family","gFam","Autotyp.area","Region","Number.of.tones","specH.mean","GTREE.name","Language.in.tree"
"fmp",941,2020,"fmp","Fe'fe'","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0174789068939394,"Fefe_Grassfields","Fefe_Grassfields"
"bax",355,2091,"bax","Bamun","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0163006410402098,"Bamun_Grassfields","Bamun_Grassfields"
"oku",2497,3411,"oku","Oku","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0163006410402098,"Oku_Grassfields","Oku_Grassfields"
"agq",41,1479,"agq","Aghem","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",6,0.0174789068939394,"Aghem_Grassfields","Aghem_Grassfields"
"mgo",2164,3922,"mgo","Moghamo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0174789068939394,"Moghamo_Grassfields","Moghamo_Grassfields"
"tiv",3279,789,"tiv","Tiv","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0165966920299145,"Tiv_Tivoid","Tiv_Tivoid"
"bwt",325,2089,"bwt","Bafo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0174789068939394,"A141_Lefo","A141_Lefo"
"bss",74,3413,"bss","Akosse","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0174789068939394,"A15C_Akossi","A15C_Akossi"
"dua",846,752,"dua","Duala","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0180563223115773,"A24_Duala","A24_Duala"
"yko",3655,2336,"yko","Yasa","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",0,0.0179670427933178,"A33a_Yasa","A33a_Yasa"
"bng",434,2103,"bng","Benga","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0179670427933178,"A34_Benga","A34_Benga"
"bas",395,747,"bas","Basaa","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0174789068939394,"A43a_Basaa","A43a_Basaa"
"baz",2472,3417,"baz","Nyokon","Niger-Kongo",NA,"West Africa ","Africa",2,0.0163006410402098,"A44_Tunen","A44_Tunen"
"lem",2425,3418,"lem","Nomaande","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0171731030205905,"A46_Nomaande","A46_Nomaande"
"ksf",1656,2204,"ksf","Kpa","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0171731030205905,"A53_Bafia_rikpa","A53_Bafia_rikpa"
"eto",921,2690,"eto","Eton","Austronesian","Atlantic-Congo","Pacific ","Pacific",0,0.0171321868473193,"A71_Eton","A71_Eton"
"ewo",929,753,"ewo","Ewondo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",6,0.0171731030205905,"A72a_Ewondo","A72a_Ewondo"
"bum",546,2111,"bum","Bulu","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0171731030205905,"A74a_Bulu","A74a_Bulu"
"fan",933,2145,"fan","Fang","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.0164719379487179,"A75a_Fang_Bitam","A75a_Fang_Minvoul"
"mcp",1935,3415,"mcp","Makaa","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0168875834518259,"A803_Shiwa","A803_Shiwa"
"nmg",2395,2263,"nmg","Ngumba","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0180563223115773,"A81_Kwasio","A81_Kwasio"
"mye",2261,2252,"mye","Myene","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0174443715870241,"B11a_Mpongwe","B11F_Enenga"
"axk",3621,2333,"axk","Yaka","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.0136693664879565,"C104_Aka","C104_Aka"
"akw",78,2078,"akw","Akwa","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0167561224125874,"C22_Akwa","C22_Akwa"
"bni",494,749,"bni","Bobangi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0173935131701632,"C32_Bobangi","C32_Bobangi"
"lin",1831,763,"lin","Lingala","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0178323326612277,"C36d_Lingala","C36d_Lingala"
"lol",2184,771,"lol","Mongo_Oli","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0180563223115773,"C61_Mongo","C61E_Konda"
"tll",3230,2313,"tll","Tetela","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0165560943444056,"C71_Tetela","C71_Tetela"
"oml",2511,2275,"oml","Ombo","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0176323481633644,"C76_Ombo","C76_Ombo"
"buf",573,750,"buf","Bushong","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0165766199310412,"C83_Bushong","C83_Bushong"
"hoo",1180,754,"hoo","Holoholo","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0139822279856255,"D28_Holoholo","D28_Holoholo"
"nzb",2480,2270,"nzb","Nzebi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0170110652602953,"B52_Nzebi","B52_Nzebi"
"nmd",2330,775,"nmd","Ndumu","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0163097279137529,"B63_Ndumu","B63_Ndumu"
"ifm",3209,2312,"ifm","Teke_South","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0163097279137529,"B77b_Fumu","B77b_Fumu"
"kng",1624,760,"kng","Kongo","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0150494856216006,"H16_Kikongo","H16_Kikongo"
"yom",3697,2338,"yom","Yombe","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0162651386946387,"H16c_Kiyombe_DRC_1982","H16c_Kiyombe_DRC_1982"
"sdj",2381,2201,"sdj","Ngazidja","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",5,0.0174380789413364,"H131_Kisundi_Congo_Kimongo_1988","H131_Kisundi_Congo_Kimongo_1988"
"kmb",1562,2239,"kmb","KiMbundu","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0163994222746698,"H21a_Kimbundu","H21a_Kimbundu"
"cjk",674,2119,"cjk","Chokwe","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0126250523863636,"K11_Ciokwe","K11_Ciokwe"
"lue",1886,766,"lue","Luvale","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0117439837719503,"K14_Lwena","K14_Lwena"
"loz",1867,764,"loz","Lozi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0100226253512044,"K21_Lozi","K21_Lozi"
"lyn",1887,2226,"lyn","Luyi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0100226253512044,"K31_Luyana","K31_Luyana"
"kwn",1727,761,"kwn","Kwangari","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0078527188486791,"K33_Kwangali","K33_Kwangali"
"umb",3408,2240,"umb","UMbundu-2","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0125521601285936,"R11_Umbundu","R11_Umbundu"
"lub",1559,758,"lub","Kiluba","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0131438171270396,"L31a_Luba-Kasai","L33_Luba-Shaba"
"run",1576,2195,"run","KiRundi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0147102945167055,"JD62_Rundi","JD62_Rundi"
"lug",1871,765,"lug","LuGanda","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0144193281351981,"JE15_Luganda","JE15_Luganda"
"gwr",1124,2170,"gwr","Gwere","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.0140485622804973,"JE17_Gwere","JE17_Gwere"
"jit",1330,2183,"jit","Jita","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0127024302736985,"JE25_Jita","JE25_Mkwaya"
"guz",1118,2168,"guz","Gusii","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",5,0.0139981181993007,"JE42_Gusii","JE42_Gusii"
"kuj",1698,2208,"kuj","Kuria","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0127024302736985,"JE43_Kuria","JE43_Kuria_Mago"
"kik",1040,757,"kik","Gikuyu","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0119878369139472,"E51_Kikuyu","E51_Kikuyu"
"thk",3241,2314,"thk","Tharaka","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0113696072185315,"E54_Tharaka","E54_Tharaka"
"kam",1401,756,"kam","Kamba","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",5,0.012022371246115,"E55_Kamba","E55_Kamba"
"suk",3068,2296,"suk","Sukuma","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.0120555787068765,"F21_Sukuma","F21_Sukuma"
"num",2414,3037,"num","Niuafo'ou","Austronesian","Austronesian","Pacific ","Pacific",0,0.0176531519133644,"F22_Nyamwezi","F22_Nyamwezi"
"rim",2466,2280,"rim","Nyaturu_Rimi","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0112262216882284,"F32_Nyaturucha","F32_Nyaturucha"
"asa",2604,779,"asa","Pare","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0117665009529915,"G22_Asu","G22A_North_Pare"
"bou",507,2109,"bou","Bondei","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0129499519599845,"G24_Bondei","G24_Bondei"
"swh",3092,786,"swh","Swahili","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0129499519599845,"G42_Swahili","G42_Swahili"
"ndh",2322,2256,"ndh","Ndali","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0110188218721834,"M21_Ndali","M21_Ndali"
"nyy",2461,2266,"nyy","Nyakyusa","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0112583989599845,"M31_Nyakyusa","M31_Nyakyusa"
"bem",430,1559,"bem","Bemba","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0109520993034188,"M42_Bemba","M42_Bemba"
"lam",1761,762,"lam","Lamba","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0141151733298368,"M54_Lamba","M54_Lamba"
"leh",1808,2216,"leh","Lenje","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",0,0.0106368242991453,"M61_Lenje","M61_Lenje"
"nya",665,751,"nya","ChiNyanja","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0115574432618493,"N31_Chewa","N31_Chewa"
"yao",3646,794,"yao","Yao","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0117165686495726,"P21_Yao","P21_Yao"
"vmw",1943,768,"vmw","Makua","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0139224302874903,"P31_Emakhua","P31_Emakhua"
"sna",2979,784,"sna","Shona","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.00992814090384615,"R22_Ndonga","S11_Shona"
"her",1159,1555,"her","Herero","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.00661301260722611,"R31_Herero","S16_Kalanga"
"ven",3454,792,"ven","Venda","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.00985611311596737,"S21_Venda","S21_Venda"
"tsn",3345,2320,"tsn","Tswana","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.00761963061790987,"S31_Tswana","S31_Tswana"
"xho",3599,793,"xho","Xhosa","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.010833549534188,"S41_Xhosa","S41_Xhosa"
"zul",3755,795,"zul","Zulu","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",3,0.0111356541618104,"S42_Zulu","S42_Zulu"
"tsc",3344,2319,"tsc","Tswa","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0128759411761849,"S51_Tshwa","S51_Tshwa"
"tso",3340,2318,"tso","Tsonga","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",2,0.0112201079646465,"S53_Tsonga","S53_Tsonga"
