Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-5.715789	-5.715789
1	0.950747	750	-5.632141	-11.347930
2	0.926679	750	-5.554539	-16.902469
3	0.902980	750	-5.453808	-22.356278
4	0.879648	750	-5.376205	-27.732482
5	0.856682	750	-5.291975	-33.024458
6	0.834079	750	-5.220267	-38.244725
7	0.811838	750	-5.128842	-43.373566
8	0.789957	750	-5.050582	-48.424149
9	0.768433	750	-4.977783	-53.401932
10	0.747266	750	-4.893103	-58.295035
11	0.726452	750	-4.812866	-63.107901
12	0.705989	750	-4.729401	-67.837302
13	0.685877	750	-4.648779	-72.486081
14	0.666112	750	-4.568609	-77.054690
15	0.646693	750	-4.492961	-81.547651
16	0.627618	750	-4.410442	-85.958093
17	0.608884	750	-4.334117	-90.292211
18	0.590490	750	-4.252575	-94.544786
19	0.572433	750	-4.181508	-98.726294
20	0.554712	750	-4.106055	-102.832349
21	0.537324	750	-4.029986	-106.862334
22	0.520268	750	-3.952387	-110.814722
23	0.503540	750	-3.883180	-114.697902
24	0.487139	750	-3.804129	-118.502031
25	0.471063	750	-3.726495	-122.228526
26	0.455310	750	-3.661403	-125.889929
27	0.439877	750	-3.603689	-129.493618
28	0.424762	750	-3.522329	-133.015947
29	0.409963	750	-3.435773	-136.451720
30	0.395478	750	-3.365341	-139.817060
31	0.381305	750	-3.296727	-143.113787
32	0.367440	750	-3.234836	-146.348624
33	0.353883	750	-3.163020	-149.511644
34	0.340630	750	-3.093074	-152.604717
35	0.327680	750	-3.029109	-155.633826
36	0.315030	750	-2.959731	-158.593557
37	0.302677	750	-2.888610	-161.482167
38	0.290619	750	-2.821257	-164.303423
39	0.278855	750	-2.749203	-167.052626
40	0.267381	750	-2.690226	-169.742852
41	0.256195	750	-2.622387	-172.365239
42	0.245294	750	-2.548807	-174.914046
43	0.234677	750	-2.488057	-177.402103
44	0.224340	750	-2.423218	-179.825321
45	0.214281	750	-2.364634	-182.189955
46	0.204498	750	-2.298366	-184.488321
47	0.194988	750	-2.238122	-186.726443
48	0.185749	750	-2.173893	-188.900336
49	0.176777	750	-2.111832	-191.012169
50	0.168070	750	-2.049526	-193.061695
51	0.159626	750	-1.984372	-195.046067
52	0.151441	750	-1.939303	-196.985370
53	0.143514	750	-1.877023	-198.862392
54	0.135841	750	-1.818252	-200.680645
55	0.128420	750	-1.771437	-202.452082
56	0.121247	750	-1.694475	-204.146557
57	0.114320	750	-1.640546	-205.787103
58	0.107637	750	-1.588205	-207.375309
59	0.101193	750	-1.531800	-208.907108
60	0.094986	750	-1.480962	-210.388070
61	0.089014	750	-1.434718	-211.822789
62	0.083273	750	-1.377612	-213.200401
63	0.077760	750	-1.327667	-214.528068
64	0.072472	750	-1.272452	-215.800520
65	0.067406	750	-1.214998	-217.015518
66	0.062558	750	-1.172273	-218.187791
67	0.057926	750	-1.128131	-219.315922
68	0.053506	750	-1.073430	-220.389352
69	0.049295	750	-1.017114	-221.406466
70	0.045289	750	-0.974603	-222.381069
71	0.041485	750	-0.936351	-223.317420
72	0.037880	750	-0.882080	-224.199500
73	0.034469	750	-0.828637	-225.028137
74	0.031250	750	-0.795716	-225.823853
75	0.028218	750	-0.747653	-226.571506
76	0.025370	750	-0.703015	-227.274521
77	0.022702	750	-0.659221	-227.933741
78	0.020209	750	-0.619309	-228.553050
79	0.017889	750	-0.581468	-229.134519
80	0.015736	750	-0.545355	-229.679873
81	0.013746	750	-0.499563	-230.179437
82	0.011916	750	-0.467991	-230.647428
83	0.010240	750	-0.428644	-231.076072
84	0.008714	750	-0.386263	-231.462335
85	0.007334	750	-0.350493	-231.812828
86	0.006093	750	-0.313736	-232.126564
87	0.004988	750	-0.283228	-232.409791
88	0.004013	750	-0.249815	-232.659606
89	0.003162	750	-0.220568	-232.880174
90	0.002430	750	-0.185924	-233.066098
91	0.001810	750	-0.161833	-233.227931
92	0.001296	750	-0.132734	-233.360665
93	0.000882	750	-0.106688	-233.467353
94	0.000559	750	-0.084421	-233.551774
95	0.000320	750	-0.062094	-233.613868
96	0.000156	750	-0.042133	-233.656001
97	0.000057	750	-0.025602	-233.681603
98	0.000010	750	-0.011810	-233.693414
99	0.000000	750	-0.002596	-233.696009
Log marginal likelihood:	-233.696009
