Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.333000	0.237548	1000	0.333000	0.333000	0.306403	
1000	0.338000	0.237548	1000	0.338000	0.338000	0.306435	
1000	0.295000	0.237548	1000	0.295000	0.295000	0.306423	
1000	0.341000	0.237548	1000	0.341000	0.341000	0.306458	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306458	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306480	
1000	0.309000	0.237548	1000	0.309000	0.309000	0.306482	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.306470	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.306488	
1000	0.297000	0.237548	1000	0.297000	0.297000	0.306479	
1000	0.283000	0.237548	1000	0.283000	0.283000	0.306456	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306452	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306477	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306483	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306484	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306484	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306487	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306496	
1000	0.296000	0.237548	1000	0.296000	0.296000	0.306485	
1000	0.312000	0.237548	1000	0.312000	0.312000	0.306491	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306499	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306524	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.306510	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306519	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306528	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306525	
1000	0.300000	0.237548	1000	0.300000	0.300000	0.306519	
1000	0.325000	0.237548	1000	0.325000	0.325000	0.306537	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306534	
1000	0.310000	0.237548	1000	0.310000	0.310000	0.306538	
1000	0.340000	0.237548	1000	0.340000	0.340000	0.306570	
1000	0.326000	0.237548	1000	0.326000	0.326000	0.306589	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.306595	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306606	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.306612	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306614	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.306609	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306620	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.306632	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306629	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306625	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306612	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.306600	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.306595	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.306582	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306603	
1000	0.283000	0.237548	1000	0.283000	0.283000	0.306580	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306579	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306603	
1000	0.280000	0.237548	1000	0.280000	0.280000	0.306578	
1000	0.342000	0.237548	1000	0.342000	0.342000	0.306612	
1000	0.314000	0.237548	1000	0.314000	0.314000	0.306619	
1000	0.296000	0.237548	1000	0.296000	0.296000	0.306608	
1000	0.301000	0.237548	1000	0.301000	0.301000	0.306603	
1000	0.319000	0.237548	1000	0.319000	0.319000	0.306615	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.306598	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306596	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306583	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.306579	
1000	0.332000	0.237548	1000	0.332000	0.332000	0.306603	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306610	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306619	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306616	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306630	
1000	0.326000	0.237548	1000	0.326000	0.326000	0.306649	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.306633	
1000	0.346000	0.237548	1000	0.346000	0.346000	0.306670	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306668	
1000	0.318000	0.237548	1000	0.318000	0.318000	0.306679	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306677	
1000	0.341000	0.237548	1000	0.341000	0.341000	0.306709	
1000	0.287000	0.237548	1000	0.287000	0.287000	0.306691	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306689	
1000	0.315000	0.237548	1000	0.315000	0.315000	0.306697	
1000	0.289000	0.237548	1000	0.289000	0.289000	0.306681	
1000	0.293000	0.237548	1000	0.293000	0.293000	0.306668	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306669	
