Steppingstone sampler:
        No Stones:                  100
        Start It:                   1050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-5.720195	-5.720195
1	0.950747	750	-5.625780	-11.345976
2	0.926679	750	-5.552647	-16.898623
3	0.902980	750	-5.457862	-22.356485
4	0.879648	750	-5.383054	-27.739540
5	0.856682	750	-5.299483	-33.039023
6	0.834079	750	-5.205839	-38.244862
7	0.811838	750	-5.132550	-43.377412
8	0.789957	750	-5.059131	-48.436542
9	0.768433	750	-4.962327	-53.398870
10	0.747266	750	-4.893495	-58.292365
11	0.726452	750	-4.819921	-63.112286
12	0.705989	750	-4.727994	-67.840280
13	0.685877	750	-4.657420	-72.497700
14	0.666112	750	-4.574172	-77.071872
15	0.646693	750	-4.493412	-81.565284
16	0.627618	750	-4.413590	-85.978874
17	0.608884	750	-4.335337	-90.314211
18	0.590490	750	-4.251956	-94.566167
19	0.572433	750	-4.172732	-98.738898
20	0.554712	750	-4.105555	-102.844453
21	0.537324	750	-4.031026	-106.875479
22	0.520268	750	-3.954841	-110.830321
23	0.503540	750	-3.878460	-114.708780
24	0.487139	750	-3.812954	-118.521734
25	0.471063	750	-3.725906	-122.247640
26	0.455310	750	-3.656100	-125.903740
27	0.439877	750	-3.595152	-129.498892
28	0.424762	750	-3.514363	-133.013256
29	0.409963	750	-3.452514	-136.465770
30	0.395478	750	-3.369382	-139.835151
31	0.381305	750	-3.292573	-143.127724
32	0.367440	750	-3.233582	-146.361306
33	0.353883	750	-3.163523	-149.524830
34	0.340630	750	-3.096838	-152.621668
35	0.327680	750	-3.012693	-155.634360
36	0.315030	750	-2.949407	-158.583767
37	0.302677	750	-2.889525	-161.473292
38	0.290619	750	-2.819113	-164.292406
39	0.278855	750	-2.747102	-167.039508
40	0.267381	750	-2.678527	-169.718035
41	0.256195	750	-2.618033	-172.336069
42	0.245294	750	-2.549561	-174.885629
43	0.234677	750	-2.491251	-177.376880
44	0.224340	750	-2.429738	-179.806618
45	0.214281	750	-2.363307	-182.169925
46	0.204498	750	-2.295175	-184.465100
47	0.194988	750	-2.247032	-186.712132
48	0.185749	750	-2.170659	-188.882791
49	0.176777	750	-2.117070	-190.999861
50	0.168070	750	-2.053205	-193.053066
51	0.159626	750	-2.003371	-195.056437
52	0.151441	750	-1.943808	-197.000245
53	0.143514	750	-1.891727	-198.891971
54	0.135841	750	-1.819366	-200.711337
55	0.128420	750	-1.758908	-202.470245
56	0.121247	750	-1.705724	-204.175970
57	0.114320	750	-1.639992	-205.815961
58	0.107637	750	-1.599390	-207.415351
59	0.101193	750	-1.545054	-208.960406
60	0.094986	750	-1.477635	-210.438041
61	0.089014	750	-1.422842	-211.860883
62	0.083273	750	-1.377681	-213.238564
63	0.077760	750	-1.337612	-214.576177
64	0.072472	750	-1.270750	-215.846926
65	0.067406	750	-1.225448	-217.072374
66	0.062558	750	-1.171097	-218.243471
67	0.057926	750	-1.119189	-219.362660
68	0.053506	750	-1.067190	-220.429851
69	0.049295	750	-1.026765	-221.456616
70	0.045289	750	-0.978934	-222.435549
71	0.041485	750	-0.929531	-223.365080
72	0.037880	750	-0.881060	-224.246140
73	0.034469	750	-0.838585	-225.084725
74	0.031250	750	-0.808441	-225.893165
75	0.028218	750	-0.760182	-226.653347
76	0.025370	750	-0.706760	-227.360107
77	0.022702	750	-0.662973	-228.023080
78	0.020209	750	-0.624175	-228.647256
79	0.017889	750	-0.580808	-229.228064
80	0.015736	750	-0.545157	-229.773221
81	0.013746	750	-0.500422	-230.273642
82	0.011916	750	-0.462257	-230.735900
83	0.010240	750	-0.419528	-231.155427
84	0.008714	750	-0.387897	-231.543324
85	0.007334	750	-0.349800	-231.893125
86	0.006093	750	-0.312422	-232.205546
87	0.004988	750	-0.277683	-232.483230
88	0.004013	750	-0.249033	-232.732262
89	0.003162	750	-0.215894	-232.948156
90	0.002430	750	-0.191982	-233.140139
91	0.001810	750	-0.159470	-233.299609
92	0.001296	750	-0.131901	-233.431510
93	0.000882	750	-0.106282	-233.537792
94	0.000559	750	-0.082555	-233.620347
95	0.000320	750	-0.061347	-233.681694
96	0.000156	750	-0.042360	-233.724054
97	0.000057	750	-0.025722	-233.749777
98	0.000010	750	-0.011745	-233.761521
99	0.000000	750	-0.002579	-233.764100
Log marginal likelihood:	-233.764100
