Options:
Model:                           Continuous: Random Walk
Tree File Name:                  ../../data/processed/GTree_phylo4g_combined_trimmed.nex
Data File Name:                  ../../data/processed/AncestralStateReconstruction/GTree_Data_Tones_SIM10_continuous.txt
Log File Name:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM10_continuous_make.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            9898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      2000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM10_continuous_make.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	PBX	210	Tiv_Tivoid Aghem_Grassfields Kom_Grassfields Oku_Grassfields Moghamo_Grassfields Fefe_Grassfields Mungaka_Grassfields Bamun_Grassfields A53_Bafia_rikpa A45_Nyokon A44_Tunen A46_Nomaande A462_Yambeta A601_Tuki A622_Nugunu A62B_Mmala A62C_Libie A42_Abo A43a_Basaa A61_Ngoro-lunda A61_Ngoro-Asom A61_Ngoro-Bisoo A71_Eton A72a_Ewondo A74a_Bulu A75a_Fang_Bitam A75a_Fang_Minvoul A75a_Fang_Medouneu A24_Duala A33a_Yasa A32C_Batanga A34_Benga A22_Bakweri A122_Bakundu A11_Londo A121_Mbonge A141_Lefo A15C_Akossi A15C_Mkaa A15C_Elung_Central_Manenguba A15A_Mbuu A15_Manenguba A15B_Mienge_NW_Manenguba A91_Kwakum A93_Kako A83_Mekaa A803_Shiwa A81_Kwasio A86c_Mpiemo A84_Njem A841_Badwe B32_Kande B11a_Mpongwe B11b_Orungu B11c_Galwa B11d_Dyumba B11F_Enenga C85_Wongo C83_Bushong C71_Tetela C76_Ombo C105_Mbenga C36d_Lingala C104_Aka C101_Babole_Ma C101_Babole_Dz C101_Babole_Ep C32_Bobangi C22_Akwa C25_Mboshi C61_Mongo D12_Lengola D23_Kibira-Kumu_1919 D311_Bila C401_Pakabete D201_Liko B42_Sangu_Mb H16c_Yombe H42_Hunganna H11_Beembe H13_Kikunyi_1989 H131_Kisundi_Congo_Kimongo_1988 H16c_Kiyombe_DRC_1982 H16_Cilinji H16d_Ciwoyo_DRC_2012 H16_Cizobe H16_Kikongo H16b_Kindibu_2013 C34_Sakata B85_Yanzi B52_Nzebi B501_Wanzi_E B63_Ndumu B77b_Fumu B78_Wuumu H21a_Kimbundu L13_Kwese K31_Luyana L52_Lunda K11_Ciokwe K14_Lwena K33_Kwangali K332_Rumanyo R11_Umbundu R31_Herero R21_Kwanyama R22_Ndonga L31a_Luba-Kasai L33_Luba-Shaba D28_Holoholo D43_Nyanga M61_Lenje M42_Bemba M54_Lamba JD66_Kiha JD62_Rundi JD65_Hangaza JE25_Mkwaya JE25_Jita JE25_Kilegi JE45_Nata JE42_Gusii JE43_Kuria JE43_Kuria_Mago JE43_Kuria_Tari JE15_Luganda JE17_Gwere JE32_Luyia JE34_Samialugwe JE31_Lumasaaba JE31c_Bukusu JE23_Zinza JE21_Runyambo JE22_Haya JE13_Runyankore JE14_Rukiga F23_Sumbwa F22_Nyamwezi F21_Ntuzu F21_Sukuma F32_Nyaturucha F32_Nyaturuwil M13_Fipa M14_Rungu M15_Mambwe M25_Safwa M21_Ndali M31_Nyakyusa P31_Emakhua N21_Tumbuka_Malawi N31_Chewa S11_Shona S16_Kalanga S21_Venda K21_Lozi S31_Tswana S311_Shekgalagari S51_Tshwa S53_Tsonga S41_Xhosa S42_Zulu S44_Ndebele P13_Matumbi P21_Yao P23_Simakonde P25_Mabia G52_Ndamba N12_Ngoni G63_Bena G64_Pangwa F33_Langi G31_Zigua G23_Sambaa G24_Bondei G12_Kagulu G35_Luguru E71A_Upper_Pokomo E72a_Giryama E73_Digo G44a_Ngazija G44b_Ndzwani G41_Bajuni G42a_Amu G401_Mwani G43_Kae G42_Swahili G42d_Unguja G22_Asu G22A_North_Pare G22B_South_Pare G39_Saghala E65_Gweno E621D_Kibosho E621B_Machame E53_Meru E621C_Siha E64_Kahe E622C_Lema E622A_Kimochi E55_Kamba_Kitu E55_Kamba E55_Kamba_Mach E51_Kikuyu E54_Tharaka E53_Igoji E53_Miutini E53_Tigania E53_Merutig E53_Imenti E53_Meruimenti 
Save Model:                      ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM10_continuous_models.bin
Restrictions:
    alpha-1                      None
Prior Information:
    Priors
        alpha-1 - uniform 0.00 12.00 
        AncState-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       211
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	
1001000	-500.263656	1	1.991019987755	591.438097459533	
1002000	-500.686807	1	2.011431333231	593.815067534632	
1003000	-500.242473	1	1.991159870625	591.319355960494	
1004000	-499.607936	1	1.998069732502	587.773502570176	
1005000	-502.330532	1	1.981935899912	603.139353962453	
1006000	-499.597217	1	1.998427142074	587.713781414517	
1007000	-499.663839	1	1.996796768805	588.085037555970	
1008000	-499.955366	1	1.993335663979	589.712331553538	
1009000	-499.743011	1	1.995581310834	588.526527685118	
1010000	-501.865916	1	1.983548123724	600.489001120990	
1011000	-499.850285	1	2.005670688529	589.125254224018	
1012000	-499.877372	1	2.005944329054	589.276529307336	
1013000	-499.585965	1	2.001083109016	587.651103425411	
1014000	-499.737830	1	2.004355332681	588.497623113155	
1015000	-500.061311	1	1.992460063945	590.304830673398	
1016000	-499.578772	1	1.999432342530	587.611042261663	
1017000	-500.447334	1	1.989886816969	592.468700366249	
1018000	-499.605106	1	1.998157360320	587.757734704485	
1019000	-499.592621	1	1.998608109772	587.688182232962	
1020000	-499.617156	1	1.997808397350	587.824870286445	
1021000	-499.660509	1	1.996858143251	588.066476247126	
1022000	-499.958407	1	1.993308943368	589.729332665140	
1023000	-501.625324	1	2.015560401322	599.121150692331	
1024000	-499.577491	1	2.000422040606	587.603905019796	
1025000	-499.628214	1	1.997531100546	587.886487899048	
1026000	-499.678883	1	2.003472844003	588.168899069856	
1027000	-501.196510	1	1.986182603106	596.690910896989	
1028000	-500.617216	1	1.988940097725	593.423494456965	
1029000	-500.247814	1	2.008881428478	591.349293207301	
1030000	-499.855360	1	2.005722945157	589.153592049104	
1031000	-500.046837	1	1.992573649645	590.223848093704	
1032000	-499.766861	1	2.004729941861	588.659588762951	
1033000	-500.809646	1	1.987955642783	594.506878126096	
1034000	-499.689664	1	2.003650200887	588.229008613184	
1035000	-499.695500	1	1.996263118974	588.261548683615	
1036000	-499.626148	1	1.997580512802	587.874971883131	
1037000	-499.576100	1	2.000116883543	587.596158310654	
1038000	-500.064441	1	1.992435722538	590.322345108975	
1039000	-499.795077	1	2.005067626350	588.817043635853	
1040000	-499.818852	1	1.994670160479	588.949754744584	
1041000	-499.577347	1	2.000401529004	587.603106284657	
1042000	-500.888454	1	1.987574472814	594.951139826144	
1043000	-499.787741	1	1.995023790459	588.776106035823	
1044000	-500.103000	1	1.992141997588	590.538138588823	
1045000	-499.622151	1	1.997679040878	587.852703053681	
1046000	-499.586845	1	1.998876061710	587.656006603441	
1047000	-499.575989	1	2.000003522122	587.595539773539	
1048000	-499.707536	1	2.003926619569	588.328665053586	
1049000	-500.327878	1	2.009397370635	591.798240347144	
1050000	-503.671072	1	2.022102283115	610.852061466147	
1051000	-500.128750	1	2.008054067269	590.682288921277	
1052000	-500.803717	1	2.012021024842	594.473465580956	
1053000	-499.580378	1	2.000719373468	587.619983665655	
1054000	-502.027259	1	2.017034052084	601.408042396547	
1055000	-499.583068	1	2.000912836269	587.634966914365	
1056000	-500.961530	1	2.012774877171	595.363381766271	
1057000	-499.683043	1	2.003542334225	588.192093656605	
1058000	-501.118452	1	1.986522060131	596.249593711032	
1059000	-500.335294	1	1.990562073187	591.839839911308	
1060000	-499.576386	1	2.000218374737	587.597750454210	
1061000	-499.588963	1	1.998771045160	587.667802162181	
1062000	-499.693699	1	1.996291415480	588.251508325913	
1063000	-499.628148	1	1.997532660867	587.886120695310	
1064000	-499.594690	1	1.998523899751	587.699706343472	
1065000	-499.787437	1	1.995027378947	588.774404963987	
1066000	-499.576664	1	1.999721849344	587.599301515492	
1067000	-499.917957	1	2.006332351633	589.503263393508	
1068000	-499.615249	1	1.997859833654	587.814245909429	
1069000	-500.570948	1	1.989189871283	593.163300968264	
1070000	-499.608462	1	1.998053903078	587.776428922654	
1071000	-500.700581	1	2.011502347133	593.892601457198	
1072000	-499.711842	1	2.003990357982	588.352676924247	
1073000	-499.632392	1	1.997434110488	587.909768570112	
1074000	-499.576930	1	2.000334620390	587.600779354037	
1075000	-499.661258	1	2.003161584771	588.070649806239	
1076000	-500.043491	1	1.992600156420	590.205126532537	
1077000	-500.046304	1	2.007427961148	590.220867939397	
1078000	-499.659540	1	2.003129586995	588.061072705802	
1079000	-499.595647	1	1.998486533996	587.705036157923	
1080000	-499.855819	1	2.005727650922	589.156156664994	
1081000	-500.909796	1	2.012532628137	595.071507123916	
1082000	-499.578153	1	2.000506072216	587.607595599698	
1083000	-500.520093	1	1.989471108287	592.877442947481	
1084000	-499.581860	1	2.000831618962	587.628242708241	
1085000	-500.323212	1	2.009368070352	591.772065707985	
1086000	-500.016552	1	2.007188765191	590.054443997268	
1087000	-500.101054	1	2.007849258915	590.527242590765	
1088000	-499.874517	1	1.994089736559	589.260586574824	
1089000	-499.638625	1	2.002709974101	587.944504364851	
1090000	-499.659464	1	2.003128157055	588.060646993622	
1091000	-499.626411	1	1.997574162654	587.876438826588	
1092000	-499.597518	1	2.001589846884	587.715462946056	
1093000	-499.822887	1	1.994625994487	588.972278923493	
1094000	-499.725455	1	1.995820313144	588.428601797007	
1095000	-500.434409	1	1.989962431484	592.396122056508	
1096000	-499.578214	1	2.000513021020	587.607930889145	
1097000	-500.952777	1	1.987271618703	595.313987563918	
1098000	-500.218372	1	1.991321726029	591.184288414458	
1099000	-499.811790	1	2.005257465170	588.910330142807	
1100000	-500.220122	1	2.008695951791	591.194095789977	
1101000	-500.475551	1	1.989723635268	592.627185308990	
1102000	-499.576049	1	2.000086931625	587.595875916544	
1103000	-499.588397	1	1.998798181447	587.664653550448	
1104000	-503.093153	1	1.979550405927	607.515019309534	
1105000	-500.187295	1	2.008470880939	591.010168149838	
1106000	-500.006754	1	2.007108241247	589.999644303616	
1107000	-499.800923	1	1.994870999577	588.849672169369	
1108000	-499.928878	1	1.993573028342	589.564292385566	
1109000	-499.667762	1	2.003279878825	588.106902440218	
1110000	-499.681241	1	2.003512396823	588.182044703453	
1111000	-500.682172	1	2.011407340318	593.788980300619	
1112000	-499.874246	1	1.994092426423	589.259072082061	
1113000	-499.577576	1	1.999572026779	587.604380890633	
1114000	-499.606554	1	1.998112035189	587.765799264272	
1115000	-499.577991	1	1.999518978613	587.606691838965	
1116000	-499.611698	1	2.002046745770	587.794458676358	
1117000	-499.839518	1	1.994447635494	589.065130069355	
1118000	-501.267534	1	1.985880608503	597.092749001039	
1119000	-499.879336	1	1.994042139827	589.287499269413	
1120000	-499.604979	1	2.001844416595	587.757024153796	
1121000	-499.614532	1	1.997879505982	587.810249124054	
1122000	-500.221967	1	2.008708427313	591.204431893924	
1123000	-499.650225	1	1.997055740755	588.009154160142	
1124000	-499.576034	1	1.999930525247	587.595789274139	
1125000	-499.867947	1	1.994155261732	589.223889544578	
1126000	-500.204861	1	1.991413778437	591.108584131563	
1127000	-502.925604	1	1.980051469815	606.550964250761	
1128000	-499.576488	1	1.999761284859	587.598319956570	
1129000	-501.555192	1	1.984716491813	598.723011804873	
1130000	-499.587206	1	1.998857476320	587.658017638176	
1131000	-500.760257	1	1.988200646342	594.228626805292	
1132000	-499.673748	1	1.996620708082	588.140273766392	
1133000	-500.282387	1	2.009107762427	591.543116353389	
1134000	-501.468640	1	1.985057547916	598.232019673826	
1135000	-499.579338	1	2.000628760610	587.614191677817	
1136000	-499.636183	1	2.002656652322	587.930892445361	
1137000	-502.359617	1	1.981839510467	603.305652221133	
1138000	-500.098563	1	1.992175242437	590.513301937778	
1139000	-499.684008	1	2.003558251425	588.197471268040	
1140000	-499.581452	1	2.000802278753	587.625968018187	
1141000	-499.702262	1	1.996158712737	588.299254577986	
1142000	-502.225779	1	2.017718639079	602.540779767619	
1143000	-499.594273	1	2.001465353206	587.697385243688	
1144000	-500.700250	1	2.011500643287	593.890735551870	
1145000	-499.985827	1	1.993072667451	589.882623367407	
1146000	-501.640112	1	2.015616978581	599.205132518049	
1147000	-499.601318	1	1.998281603971	587.736631658374	
1148000	-500.554560	1	2.010726114741	593.071168162431	
1149000	-499.697923	1	2.003780452517	588.275061258615	
1150000	-499.576972	1	2.000342040191	587.601016378958	
