Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.269000	0.014509	1000	0.269000	0.269000	0.274518	
1000	0.271000	0.014509	1000	0.271000	0.271000	0.274515	
1000	0.280000	0.014509	1000	0.280000	0.280000	0.274520	
1000	0.274000	0.014509	1000	0.274000	0.274000	0.274520	
1000	0.280000	0.014509	1000	0.280000	0.280000	0.274525	
1000	0.280000	0.014509	1000	0.280000	0.280000	0.274531	
1000	0.273000	0.014509	1000	0.273000	0.273000	0.274529	
1000	0.313000	0.014509	1000	0.313000	0.313000	0.274567	
1000	0.298000	0.014509	1000	0.298000	0.298000	0.274590	
1000	0.292000	0.014509	1000	0.292000	0.292000	0.274608	
1000	0.267000	0.014509	1000	0.267000	0.267000	0.274600	
1000	0.278000	0.014509	1000	0.278000	0.278000	0.274603	
1000	0.281000	0.014509	1000	0.281000	0.281000	0.274610	
1000	0.284000	0.014509	1000	0.284000	0.284000	0.274619	
1000	0.300000	0.014509	1000	0.300000	0.300000	0.274644	
1000	0.251000	0.014509	1000	0.251000	0.251000	0.274621	
1000	0.300000	0.014509	1000	0.300000	0.300000	0.274646	
1000	0.269000	0.014509	1000	0.269000	0.269000	0.274640	
1000	0.282000	0.014509	1000	0.282000	0.282000	0.274647	
1000	0.289000	0.014509	1000	0.289000	0.289000	0.274661	
1000	0.258000	0.014509	1000	0.258000	0.258000	0.274645	
1000	0.276000	0.014509	1000	0.276000	0.276000	0.274647	
1000	0.266000	0.014509	1000	0.266000	0.266000	0.274638	
1000	0.303000	0.014509	1000	0.303000	0.303000	0.274666	
1000	0.291000	0.014509	1000	0.291000	0.291000	0.274682	
1000	0.263000	0.014509	1000	0.263000	0.263000	0.274670	
1000	0.286000	0.014509	1000	0.286000	0.286000	0.274681	
1000	0.261000	0.014509	1000	0.261000	0.261000	0.274668	
1000	0.293000	0.014509	1000	0.293000	0.293000	0.274686	
1000	0.267000	0.014509	1000	0.267000	0.267000	0.274678	
1000	0.258000	0.014509	1000	0.258000	0.258000	0.274662	
1000	0.296000	0.014509	1000	0.296000	0.296000	0.274683	
1000	0.279000	0.014509	1000	0.279000	0.279000	0.274687	
1000	0.279000	0.014509	1000	0.279000	0.279000	0.274691	
1000	0.290000	0.014509	1000	0.290000	0.290000	0.274706	
1000	0.256000	0.014509	1000	0.256000	0.256000	0.274688	
1000	0.267000	0.014509	1000	0.267000	0.267000	0.274681	
1000	0.301000	0.014509	1000	0.301000	0.301000	0.274706	
1000	0.292000	0.014509	1000	0.292000	0.292000	0.274723	
1000	0.260000	0.014509	1000	0.260000	0.260000	0.274708	
1000	0.270000	0.014509	1000	0.270000	0.270000	0.274704	
1000	0.304000	0.014509	1000	0.304000	0.304000	0.274732	
1000	0.291000	0.014509	1000	0.291000	0.291000	0.274748	
1000	0.293000	0.014509	1000	0.293000	0.293000	0.274765	
1000	0.270000	0.014509	1000	0.270000	0.270000	0.274761	
1000	0.289000	0.014509	1000	0.289000	0.289000	0.274774	
1000	0.301000	0.014509	1000	0.301000	0.301000	0.274799	
1000	0.298000	0.014509	1000	0.298000	0.298000	0.274821	
1000	0.275000	0.014509	1000	0.275000	0.275000	0.274821	
1000	0.277000	0.014509	1000	0.277000	0.277000	0.274824	
1000	0.296000	0.014509	1000	0.296000	0.296000	0.274844	
1000	0.308000	0.014509	1000	0.308000	0.308000	0.274875	
1000	0.271000	0.014509	1000	0.271000	0.271000	0.274872	
1000	0.296000	0.014509	1000	0.296000	0.296000	0.274892	
1000	0.295000	0.014509	1000	0.295000	0.295000	0.274911	
1000	0.267000	0.014509	1000	0.267000	0.267000	0.274903	
1000	0.284000	0.014509	1000	0.284000	0.284000	0.274912	
