Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
449	0.000000	551	0.297641	6.324110	0	0.000000	1.271975	551	0.297641	0.164000	0.159264	
464	0.000000	536	0.277985	6.324110	0	0.000000	1.271975	536	0.277985	0.149000	0.159253	
454	0.000000	546	0.263736	6.324110	0	0.000000	1.271975	546	0.263736	0.144000	0.159238	
456	0.002193	544	0.321691	6.324110	0	0.000000	1.271975	544	0.321691	0.176000	0.159255	
454	0.002203	546	0.278388	6.324110	0	0.000000	1.271975	546	0.278388	0.153000	0.159249	
469	0.002132	531	0.290019	6.324110	0	0.000000	1.271975	531	0.290019	0.155000	0.159244	
443	0.000000	557	0.271095	6.324110	0	0.000000	1.271975	557	0.271095	0.151000	0.159236	
435	0.002299	565	0.295575	6.324110	0	0.000000	1.271975	565	0.295575	0.168000	0.159245	
456	0.002193	544	0.248162	6.324110	0	0.000000	1.271975	544	0.248162	0.136000	0.159222	
477	0.008386	523	0.260038	6.324110	0	0.000000	1.271975	523	0.260038	0.140000	0.159203	
435	0.004598	565	0.279646	6.324110	0	0.000000	1.271975	565	0.279646	0.160000	0.159204	
457	0.006565	543	0.267035	6.324110	0	0.000000	1.271975	543	0.267035	0.148000	0.159193	
454	0.006608	546	0.271062	6.324110	0	0.000000	1.271975	546	0.271062	0.151000	0.159184	
449	0.000000	551	0.292196	6.324110	0	0.000000	1.271975	551	0.292196	0.161000	0.159186	
424	0.000000	576	0.282986	6.324110	0	0.000000	1.271975	576	0.282986	0.163000	0.159190	
440	0.002273	560	0.264286	6.324110	0	0.000000	1.271975	560	0.264286	0.149000	0.159180	
463	0.006479	537	0.268156	6.324110	0	0.000000	1.271975	537	0.268156	0.147000	0.159168	
449	0.000000	551	0.246824	6.324110	0	0.000000	1.271975	551	0.246824	0.136000	0.159145	
459	0.006536	541	0.258780	6.324110	0	0.000000	1.271975	541	0.258780	0.143000	0.159129	
442	0.004525	558	0.267025	6.324110	0	0.000000	1.271975	558	0.267025	0.151000	0.159121	
440	0.000000	560	0.280357	6.324110	0	0.000000	1.271975	560	0.280357	0.157000	0.159119	
426	0.002347	574	0.287456	6.324110	0	0.000000	1.271975	574	0.287456	0.166000	0.159126	
433	0.004619	567	0.245150	6.324110	0	0.000000	1.271975	567	0.245150	0.141000	0.159108	
477	0.006289	523	0.250478	6.324110	0	0.000000	1.271975	523	0.250478	0.134000	0.159084	
458	0.000000	542	0.302583	6.324110	0	0.000000	1.271975	542	0.302583	0.164000	0.159089	
484	0.006198	516	0.269380	6.324110	0	0.000000	1.271975	516	0.269380	0.142000	0.159072	
430	0.000000	570	0.298246	6.324110	0	0.000000	1.271975	570	0.298246	0.170000	0.159083	
451	0.002217	549	0.296903	6.324110	0	0.000000	1.271975	549	0.296903	0.164000	0.159087	
407	0.012285	593	0.264755	6.324110	0	0.000000	1.271975	593	0.264755	0.162000	0.159090	
469	0.006397	531	0.261770	6.324110	0	0.000000	1.271975	531	0.261770	0.142000	0.159074	
473	0.004228	527	0.275142	6.324110	0	0.000000	1.271975	527	0.275142	0.147000	0.159062	
477	0.004193	523	0.281071	6.324110	0	0.000000	1.271975	523	0.281071	0.149000	0.159052	
453	0.002208	547	0.283364	6.324110	0	0.000000	1.271975	547	0.283364	0.156000	0.159049	
435	0.002299	565	0.267257	6.324110	0	0.000000	1.271975	565	0.267257	0.152000	0.159042	
409	0.002445	591	0.291032	6.324110	0	0.000000	1.271975	591	0.291032	0.173000	0.159056	
464	0.002155	536	0.277985	6.324110	0	0.000000	1.271975	536	0.277985	0.150000	0.159047	
424	0.004717	576	0.319444	6.324110	0	0.000000	1.271975	576	0.319444	0.186000	0.159073	
439	0.006834	561	0.270945	6.324110	0	0.000000	1.271975	561	0.270945	0.155000	0.159069	
427	0.002342	573	0.286213	6.324110	0	0.000000	1.271975	573	0.286213	0.165000	0.159075	
419	0.000000	581	0.301205	6.324110	0	0.000000	1.271975	581	0.301205	0.175000	0.159090	
419	0.002387	581	0.265060	6.324110	0	0.000000	1.271975	581	0.265060	0.155000	0.159086	
436	0.004587	564	0.255319	6.324110	0	0.000000	1.271975	564	0.255319	0.146000	0.159074	
412	0.002427	588	0.275510	6.324110	0	0.000000	1.271975	588	0.275510	0.163000	0.159078	
444	0.002252	556	0.294964	6.324110	0	0.000000	1.271975	556	0.294964	0.165000	0.159083	
422	0.000000	578	0.275087	6.324110	0	0.000000	1.271975	578	0.275087	0.159000	0.159083	
432	0.009259	568	0.272887	6.324110	0	0.000000	1.271975	568	0.272887	0.159000	0.159083	
449	0.004454	551	0.284936	6.324110	0	0.000000	1.271975	551	0.284936	0.159000	0.159083	
426	0.009390	574	0.282230	6.324110	0	0.000000	1.271975	574	0.282230	0.166000	0.159090	
431	0.004640	569	0.260105	6.324110	0	0.000000	1.271975	569	0.260105	0.150000	0.159081	
453	0.004415	547	0.268739	6.324110	0	0.000000	1.271975	547	0.268739	0.149000	0.159071	
439	0.000000	561	0.260250	6.324110	0	0.000000	1.271975	561	0.260250	0.146000	0.159059	
435	0.006897	565	0.261947	6.324110	0	0.000000	1.271975	565	0.261947	0.151000	0.159051	
449	0.004454	551	0.243194	6.324110	0	0.000000	1.271975	551	0.243194	0.136000	0.159029	
431	0.000000	569	0.293497	6.324110	0	0.000000	1.271975	569	0.293497	0.167000	0.159037	
431	0.006961	569	0.286467	6.324110	0	0.000000	1.271975	569	0.286467	0.166000	0.159043	
430	0.002326	570	0.298246	6.324110	0	0.000000	1.271975	570	0.298246	0.171000	0.159055	
428	0.002336	572	0.263986	6.324110	0	0.000000	1.271975	572	0.263986	0.152000	0.159048	
436	0.011468	564	0.280142	6.324110	0	0.000000	1.271975	564	0.280142	0.163000	0.159052	
442	0.002262	558	0.277778	6.324110	0	0.000000	1.271975	558	0.277778	0.156000	0.159049	
446	0.006726	554	0.299639	6.324110	0	0.000000	1.271975	554	0.299639	0.169000	0.159058	
441	0.009070	559	0.304114	6.324110	0	0.000000	1.271975	559	0.304114	0.174000	0.159072	
444	0.004505	556	0.280576	6.324110	0	0.000000	1.271975	556	0.280576	0.158000	0.159071	
446	0.002242	554	0.261733	6.324110	0	0.000000	1.271975	554	0.261733	0.146000	0.159059	
434	0.004608	566	0.284452	6.324110	0	0.000000	1.271975	566	0.284452	0.163000	0.159063	
448	0.002232	552	0.266304	6.324110	0	0.000000	1.271975	552	0.266304	0.148000	0.159052	
471	0.006369	529	0.238185	6.324110	0	0.000000	1.271975	529	0.238185	0.129000	0.159024	
440	0.000000	560	0.289286	6.324110	0	0.000000	1.271975	560	0.289286	0.162000	0.159027	
437	0.004577	563	0.248668	6.324110	0	0.000000	1.271975	563	0.248668	0.142000	0.159011	
462	0.006494	538	0.288104	6.324110	0	0.000000	1.271975	538	0.288104	0.158000	0.159010	
444	0.002252	556	0.287770	6.324110	0	0.000000	1.271975	556	0.287770	0.161000	0.159012	
441	0.006803	559	0.259392	6.324110	0	0.000000	1.271975	559	0.259392	0.148000	0.159002	
462	0.006494	538	0.302974	6.324110	0	0.000000	1.271975	538	0.302974	0.166000	0.159008	
447	0.004474	553	0.292948	6.324110	0	0.000000	1.271975	553	0.292948	0.164000	0.159013	
431	0.002320	569	0.254833	6.324110	0	0.000000	1.271975	569	0.254833	0.146000	0.159001	
428	0.002336	572	0.281469	6.324110	0	0.000000	1.271975	572	0.281469	0.162000	0.159004	
449	0.011136	551	0.270417	6.324110	0	0.000000	1.271975	551	0.270417	0.154000	0.158999	
449	0.008909	551	0.277677	6.324110	0	0.000000	1.271975	551	0.277677	0.157000	0.158997	
465	0.002151	535	0.302804	6.324110	0	0.000000	1.271975	535	0.302804	0.163000	0.159001	
421	0.007126	579	0.303972	6.324110	0	0.000000	1.271975	579	0.303972	0.179000	0.159019	
426	0.002347	574	0.290941	6.324110	0	0.000000	1.271975	574	0.290941	0.168000	0.159028	
433	0.006928	567	0.253968	6.324110	0	0.000000	1.271975	567	0.253968	0.147000	0.159017	
440	0.004545	560	0.258929	6.324110	0	0.000000	1.271975	560	0.258929	0.147000	0.159005	
442	0.011312	558	0.301075	6.324110	0	0.000000	1.271975	558	0.301075	0.173000	0.159018	
462	0.002165	538	0.291822	6.324110	0	0.000000	1.271975	538	0.291822	0.158000	0.159017	
401	0.000000	599	0.280467	6.324110	0	0.000000	1.271975	599	0.280467	0.168000	0.159026	
419	0.004773	581	0.282272	6.324110	0	0.000000	1.271975	581	0.282272	0.166000	0.159032	
453	0.002208	547	0.254113	6.324110	0	0.000000	1.271975	547	0.254113	0.140000	0.159015	
425	0.007059	575	0.274783	6.324110	0	0.000000	1.271975	575	0.274783	0.161000	0.159016	
415	0.002410	585	0.297436	6.324110	0	0.000000	1.271975	585	0.297436	0.175000	0.159031	
479	0.002088	521	0.287908	6.324110	0	0.000000	1.271975	521	0.287908	0.151000	0.159024	
422	0.004739	578	0.311419	6.324110	0	0.000000	1.271975	578	0.311419	0.182000	0.159045	
435	0.006897	565	0.283186	6.324110	0	0.000000	1.271975	565	0.283186	0.163000	0.159048	
433	0.000000	567	0.280423	6.324110	0	0.000000	1.271975	567	0.280423	0.159000	0.159048	
443	0.002257	557	0.228007	6.324110	0	0.000000	1.271975	557	0.228007	0.128000	0.159020	
