Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.322000	0.057678	477	0.301887	0.000047	523	0.340344	0.322000	0.152056	
1000	0.285000	0.057678	521	0.307102	0.000047	479	0.260960	0.285000	0.154612	
1000	0.300000	0.057678	491	0.331976	0.000047	509	0.269155	0.300000	0.157356	
1000	0.286000	0.057678	505	0.273267	0.000047	495	0.298990	0.286000	0.159738	
1000	0.283000	0.057678	484	0.283058	0.000047	516	0.282946	0.283000	0.161979	
1000	0.280000	0.057678	475	0.282105	0.000047	525	0.278095	0.280000	0.164086	
1000	0.273000	0.057678	493	0.286004	0.000047	507	0.260355	0.273000	0.165997	
1000	0.271000	0.057678	472	0.288136	0.000047	528	0.255682	0.271000	0.167807	
1000	0.276000	0.057678	508	0.301181	0.000047	492	0.250000	0.276000	0.169641	
1000	0.262000	0.057678	517	0.243714	0.000047	483	0.281573	0.262000	0.171180	
1000	0.256000	0.057678	514	0.241245	0.000047	486	0.271605	0.256000	0.172571	
1000	0.282000	0.057678	496	0.294355	0.000047	504	0.269841	0.282000	0.174336	
1000	0.291000	0.057678	513	0.288499	0.000047	487	0.293634	0.291000	0.176188	
1000	0.300000	0.057678	507	0.282051	0.000047	493	0.318458	0.300000	0.178122	
1000	0.297000	0.057678	528	0.282197	0.000047	472	0.313559	0.297000	0.179951	
1000	0.297000	0.057678	491	0.311609	0.000047	509	0.282908	0.297000	0.181725	
1000	0.295000	0.057678	492	0.276423	0.000047	508	0.312992	0.295000	0.183415	
1000	0.292000	0.057678	523	0.275335	0.000047	477	0.310273	0.292000	0.185012	
1000	0.301000	0.057678	486	0.306584	0.000047	514	0.295720	0.301000	0.186693	
1000	0.266000	0.057678	514	0.254864	0.000047	486	0.277778	0.266000	0.187826	
1000	0.300000	0.057678	516	0.337209	0.000047	484	0.260331	0.300000	0.189406	
1000	0.302000	0.057678	514	0.305447	0.000047	486	0.298354	0.302000	0.190970	
1000	0.264000	0.057678	495	0.270707	0.000047	505	0.257426	0.264000	0.191970	
1000	0.319000	0.057678	466	0.293991	0.000047	534	0.340824	0.319000	0.193687	
1000	0.259000	0.057678	477	0.245283	0.000047	523	0.271511	0.259000	0.194557	
1000	0.260000	0.057678	513	0.259259	0.000047	487	0.260780	0.260000	0.195418	
1000	0.265000	0.057678	499	0.266533	0.000047	501	0.263473	0.265000	0.196322	
1000	0.276000	0.057678	510	0.280392	0.000047	490	0.271429	0.276000	0.197344	
1000	0.258000	0.057678	515	0.283495	0.000047	485	0.230928	0.258000	0.198111	
1000	0.301000	0.057678	464	0.336207	0.000047	536	0.270522	0.301000	0.199398	
1000	0.291000	0.057678	521	0.262956	0.000047	479	0.321503	0.291000	0.200528	
1000	0.278000	0.057678	525	0.260952	0.000047	475	0.296842	0.278000	0.201473	
1000	0.298000	0.057678	531	0.288136	0.000047	469	0.309168	0.298000	0.202636	
1000	0.293000	0.057678	486	0.298354	0.000047	514	0.287938	0.293000	0.203712	
