Steppingstone sampler:
        No Stones:                  100
        Start It:                   1050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	20.036842	20.036842
1	0.950747	750	19.737178	39.774019
2	0.926679	750	19.435914	59.209933
3	0.902980	750	19.138094	78.348027
4	0.879648	750	18.839019	97.187046
5	0.856682	750	18.546290	115.733336
6	0.834079	750	18.241687	133.975024
7	0.811838	750	17.956199	151.931222
8	0.789957	750	17.664821	169.596043
9	0.768433	750	17.375459	186.971502
10	0.747266	750	17.083230	204.054732
11	0.726452	750	16.798788	220.853521
12	0.705989	750	16.515131	237.368651
13	0.685877	750	16.237732	253.606383
14	0.666112	750	15.948531	269.554915
15	0.646693	750	15.668538	285.223453
16	0.627618	750	15.388290	300.611743
17	0.608884	750	15.114994	315.726737
18	0.590490	750	14.844902	330.571639
19	0.572433	750	14.561974	345.133612
20	0.554712	750	14.302458	359.436070
21	0.537324	750	14.022132	373.458202
22	0.520268	750	13.758160	387.216362
23	0.503540	750	13.491368	400.707730
24	0.487139	750	13.221955	413.929685
25	0.471063	750	12.967534	426.897218
26	0.455310	750	12.699643	439.596861
27	0.439877	750	12.443387	452.040249
28	0.424762	750	12.189067	464.229315
29	0.409963	750	11.924028	476.153343
30	0.395478	750	11.670672	487.824016
31	0.381305	750	11.424219	499.248235
32	0.367440	750	11.169090	510.417325
33	0.353883	750	10.917049	521.334374
34	0.340630	750	10.681952	532.016326
35	0.327680	750	10.432888	542.449214
36	0.315030	750	10.187080	552.636295
37	0.302677	750	9.945364	562.581659
38	0.290619	750	9.703616	572.285276
39	0.278855	750	9.470450	581.755725
40	0.267381	750	9.237726	590.993452
41	0.256195	750	9.003696	599.997148
42	0.245294	750	8.776828	608.773976
43	0.234677	750	8.533842	617.307818
44	0.224340	750	8.310900	625.618718
45	0.214281	750	8.092123	633.710841
46	0.204498	750	7.860560	641.571401
47	0.194988	750	7.644064	649.215465
48	0.185749	750	7.418760	656.634225
49	0.176777	750	7.211980	663.846205
50	0.168070	750	6.975372	670.821577
51	0.159626	750	6.790211	677.611788
52	0.151441	750	6.577837	684.189625
53	0.143514	750	6.358558	690.548183
54	0.135841	750	6.143901	696.692084
55	0.128420	750	5.950104	702.642188
56	0.121247	750	5.745582	708.387770
57	0.114320	750	5.527512	713.915282
58	0.107637	750	5.330472	719.245754
59	0.101193	750	5.133362	724.379116
60	0.094986	750	4.952934	729.332050
61	0.089014	750	4.741253	734.073303
62	0.083273	750	4.574560	738.647863
63	0.077760	750	4.370868	743.018731
64	0.072472	750	4.216801	747.235532
65	0.067406	750	4.032860	751.268392
66	0.062558	750	3.830715	755.099107
67	0.057926	750	3.670496	758.769603
68	0.053506	750	3.475573	762.245176
69	0.049295	750	3.295293	765.540469
70	0.045289	750	3.147766	768.688236
71	0.041485	750	2.974426	771.662662
72	0.037880	750	2.800459	774.463121
73	0.034469	750	2.652803	777.115924
74	0.031250	750	2.482196	779.598119
75	0.028218	750	2.322932	781.921051
76	0.025370	750	2.136835	784.057887
77	0.022702	750	2.022969	786.080855
78	0.020209	750	1.879706	787.960561
79	0.017889	750	1.683317	789.643878
80	0.015736	750	1.534894	791.178772
81	0.013746	750	1.370197	792.548969
82	0.011916	750	1.268237	793.817206
83	0.010240	750	1.126109	794.943315
84	0.008714	750	0.868956	795.812271
85	0.007334	750	0.792883	796.605153
86	0.006093	750	0.632640	797.237793
87	0.004988	750	0.066491	797.304284
88	0.004013	750	0.059554	797.363838
89	0.003162	750	-0.828736	796.535102
90	0.002430	750	-0.895439	795.639662
91	0.001810	750	-1.498537	794.141125
92	0.001296	750	-0.965491	793.175634
93	0.000882	750	-0.778913	792.396722
94	0.000559	750	-0.794938	791.601784
95	0.000320	750	-0.584754	791.017030
96	0.000156	750	-0.460994	790.556036
97	0.000057	750	-0.291756	790.264280
98	0.000010	750	-0.144397	790.119883
99	0.000000	750	-0.031938	790.087945
Log marginal likelihood:	790.087945
