Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.289000	0.124969	485	0.249485	0.000022	515	0.326214	0.289000	0.169075	
1000	0.339000	0.124969	489	0.302658	0.000022	511	0.373777	0.339000	0.172343	
1000	0.317000	0.124969	475	0.288421	0.000022	525	0.342857	0.317000	0.175072	
1000	0.318000	0.124969	502	0.270916	0.000022	498	0.365462	0.318000	0.177719	
1000	0.280000	0.124969	518	0.254826	0.000022	482	0.307054	0.280000	0.179579	
1000	0.327000	0.124969	500	0.304000	0.000022	500	0.350000	0.327000	0.182211	
1000	0.303000	0.124969	511	0.277886	0.000022	489	0.329243	0.303000	0.184330	
1000	0.288000	0.124969	518	0.266409	0.000022	482	0.311203	0.288000	0.186117	
1000	0.293000	0.124969	501	0.249501	0.000022	499	0.336673	0.293000	0.187929	
1000	0.282000	0.124969	512	0.240234	0.000022	488	0.325820	0.282000	0.189497	
1000	0.271000	0.124969	505	0.223762	0.000022	495	0.319192	0.271000	0.190833	
1000	0.296000	0.124969	479	0.296451	0.000022	521	0.295585	0.296000	0.192529	
1000	0.308000	0.124969	501	0.279441	0.000022	499	0.336673	0.308000	0.194362	
1000	0.307000	0.124969	503	0.252485	0.000022	497	0.362173	0.307000	0.196122	
1000	0.320000	0.124969	504	0.240079	0.000022	496	0.401210	0.320000	0.198028	
1000	0.277000	0.124969	517	0.237911	0.000023	483	0.318841	0.277000	0.199224	
1000	0.303000	0.124969	540	0.261111	0.000023	460	0.352174	0.303000	0.200773	
1000	0.281000	0.124969	484	0.272727	0.000023	516	0.288760	0.281000	0.201953	
1000	0.294000	0.124969	511	0.293542	0.000023	489	0.294479	0.294000	0.203287	
1000	0.301000	0.124969	521	0.276392	0.000023	479	0.327766	0.301000	0.204683	
1000	0.292000	0.124969	457	0.245077	0.000023	543	0.331492	0.292000	0.205913	
1000	0.293000	0.124969	499	0.262525	0.000023	501	0.323353	0.293000	0.207122	
1000	0.286000	0.124969	513	0.286550	0.000023	487	0.285421	0.286000	0.208203	
1000	0.294000	0.124969	485	0.265979	0.000023	515	0.320388	0.294000	0.209362	
