Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.187000	14.783724	492	0.367886	0.243877	508	0.011811	0.187000	0.190165	
1000	0.199000	14.783724	532	0.359023	0.229208	468	0.017094	0.199000	0.190901	
1000	0.187000	14.783724	487	0.359343	0.173623	513	0.023392	0.187000	0.190601	
1000	0.203000	14.783724	519	0.369942	0.121978	481	0.022869	0.203000	0.191486	
1000	0.214000	14.783724	503	0.391650	0.081354	497	0.034205	0.214000	0.192987	
1000	0.205000	14.783724	496	0.377016	0.058902	504	0.035714	0.205000	0.193738	
1000	0.198000	14.783724	508	0.346457	0.053723	492	0.044715	0.198000	0.193989	
1000	0.213000	14.783724	490	0.369388	0.049223	510	0.062745	0.213000	0.195045	
1000	0.236000	14.783724	495	0.397980	0.030415	505	0.077228	0.236000	0.197200	
1000	0.217000	14.783724	474	0.348101	0.029225	526	0.098859	0.217000	0.198190	
1000	0.249000	14.783724	504	0.396825	0.024063	496	0.098790	0.249000	0.200609	
1000	0.269000	14.783724	531	0.350282	0.013437	469	0.176972	0.269000	0.203718	
1000	0.317000	14.783724	517	0.363636	0.009283	483	0.267081	0.317000	0.208643	
1000	0.315000	14.783724	502	0.362550	0.009283	498	0.267068	0.315000	0.213074	
1000	0.336000	14.783724	518	0.393822	0.009283	482	0.273859	0.336000	0.217991	
1000	0.317000	14.783724	524	0.353053	0.009283	476	0.277311	0.317000	0.221799	
1000	0.266000	14.783724	497	0.283702	0.009283	503	0.248509	0.266000	0.223436	
1000	0.296000	14.783724	525	0.325714	0.009283	475	0.263158	0.296000	0.226028	
1000	0.338000	14.783724	488	0.379098	0.009283	512	0.298828	0.338000	0.229889	
1000	0.288000	14.783724	493	0.310345	0.009283	507	0.266272	0.288000	0.231826	
1000	0.321000	14.783724	488	0.362705	0.009283	512	0.281250	0.321000	0.234702	
1000	0.289000	14.783724	487	0.312115	0.009283	513	0.267057	0.289000	0.236399	
