Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.476000	1.050912	501	0.946108	0.386478	499	0.004008	0.476000	0.500864	
1000	0.467000	1.140052	515	0.899029	0.261825	485	0.008247	0.467000	0.498042	
1000	0.486000	1.281820	519	0.913295	0.138946	481	0.024948	0.486000	0.497116	
1000	0.480000	1.953332	516	0.893411	0.078251	484	0.039256	0.480000	0.495893	
1000	0.425000	3.776324	509	0.793713	0.061556	491	0.042770	0.425000	0.491167	
1000	0.419000	4.563434	527	0.757116	0.047396	473	0.042283	0.419000	0.486657	
1000	0.319000	8.749929	491	0.539715	0.025055	509	0.106090	0.319000	0.476795	
1000	0.257000	11.919961	489	0.392638	0.020249	511	0.127202	0.257000	0.464585	
1000	0.302000	11.919961	515	0.436893	0.016750	485	0.158763	0.302000	0.456029	
1000	0.239000	19.439550	517	0.263056	0.014255	483	0.213251	0.239000	0.445178	
1000	0.212000	19.439550	491	0.272912	0.014255	509	0.153242	0.212000	0.434075	
1000	0.206000	19.439550	477	0.234801	0.013724	523	0.179732	0.206000	0.423708	
1000	0.249000	19.439550	496	0.284274	0.013015	504	0.214286	0.249000	0.416112	
1000	0.231000	19.439550	498	0.289157	0.013015	502	0.173307	0.231000	0.408400	
1000	0.216000	19.439550	516	0.275194	0.012918	484	0.152893	0.216000	0.400704	
1000	0.255000	19.439550	511	0.281800	0.012209	489	0.226994	0.255000	0.395100	
1000	0.240000	19.439550	501	0.259481	0.012209	499	0.220441	0.240000	0.389356	
1000	0.235000	19.439550	495	0.258586	0.012209	505	0.211881	0.235000	0.383843	
1000	0.252000	19.439550	506	0.270751	0.012209	494	0.232794	0.252000	0.379297	
1000	0.265000	19.439550	493	0.322515	0.012209	507	0.209073	0.265000	0.375487	
1000	0.261000	19.439550	503	0.302187	0.012209	497	0.219316	0.261000	0.371794	
1000	0.250000	19.439550	518	0.289575	0.012209	482	0.207469	0.250000	0.367989	
1000	0.216000	19.439550	495	0.248485	0.012209	505	0.184158	0.216000	0.363383	
1000	0.298000	19.439550	501	0.277445	0.008733	499	0.318637	0.298000	0.361460	
1000	0.245000	19.439550	496	0.243952	0.008733	504	0.246032	0.245000	0.358133	
1000	0.294000	19.439550	509	0.280943	0.008733	491	0.307536	0.294000	0.356351	
1000	0.268000	19.439550	486	0.253086	0.008733	514	0.282101	0.268000	0.353963	
1000	0.272000	19.439550	492	0.243902	0.008733	508	0.299213	0.272000	0.351807	
1000	0.286000	19.439550	505	0.277228	0.008733	495	0.294949	0.286000	0.350119	
1000	0.296000	19.439550	487	0.293634	0.008733	513	0.298246	0.296000	0.348766	
1000	0.295000	19.439550	505	0.275248	0.008733	495	0.315152	0.295000	0.347455	
1000	0.295000	19.439550	482	0.290456	0.008733	518	0.299228	0.295000	0.346206	
1000	0.296000	19.439550	504	0.311508	0.008733	496	0.280242	0.296000	0.345038	
1000	0.249000	19.439550	476	0.254202	0.008733	524	0.244275	0.249000	0.342856	
1000	0.295000	19.439550	476	0.306723	0.008733	524	0.284351	0.295000	0.341792	
1000	0.292000	19.439550	496	0.270161	0.008733	504	0.313492	0.292000	0.340710	
1000	0.287000	19.439550	500	0.290000	0.008733	500	0.284000	0.287000	0.339567	
1000	0.264000	19.439550	515	0.264078	0.008733	485	0.263918	0.264000	0.337993	
1000	0.282000	19.439550	512	0.285156	0.008733	488	0.278689	0.282000	0.336850	
1000	0.243000	19.439550	481	0.224532	0.008733	519	0.260116	0.243000	0.334973	
1000	0.284000	19.439550	519	0.263969	0.008733	481	0.305613	0.284000	0.333974	
1000	0.270000	19.439550	501	0.257485	0.008733	499	0.282565	0.270000	0.332744	
1000	0.278000	19.439550	523	0.277247	0.008733	477	0.278826	0.278000	0.331711	
1000	0.284000	19.439550	503	0.278330	0.008733	497	0.289738	0.284000	0.330827	
1000	0.270000	19.439550	486	0.277778	0.008733	514	0.262646	0.270000	0.329721	
1000	0.278000	19.439550	484	0.272727	0.008733	516	0.282946	0.278000	0.328798	
1000	0.303000	19.439550	485	0.253608	0.008733	515	0.349515	0.303000	0.328345	
1000	0.278000	19.439550	499	0.266533	0.008733	501	0.289421	0.278000	0.327477	
1000	0.298000	19.439550	494	0.277328	0.008733	506	0.318182	0.298000	0.326978	
1000	0.282000	19.439550	496	0.247984	0.008733	504	0.315476	0.282000	0.326228	
1000	0.284000	19.439550	504	0.287698	0.008733	496	0.280242	0.284000	0.325536	
